participant_id,date,time_slot,computer_number,treatment_group,id_type,num_conversations,total_duration_min,inference_confidence
02122024_1012_01,2024-12-02,10:00,1,T1,inferred,1,0.009448000000000002,MEDIUM
02122024_1217_12,2024-12-02,12:00,9,T2_T3,explicit,1,23.0007965,
02122024_1213_14,2024-12-02,12:00,14,T1,inferred,1,19.791956799999998,HIGH
20643527_1200_15,2024-12-02,12:00,15,T2_T3,explicit,1,15.030816399999999,
20471918_1221_1,2024-12-02,12:15,1,T2_T3,explicit,1,13.466890966666666,
02122024_1215_02,2024-12-02,12:15,2,T1,inferred,1,18.648652116666664,HIGH
02122024_1220_03,2024-12-02,12:15,3,T1,inferred,1,14.179387966666667,HIGH
02122024_1218_04,2024-12-02,12:15,4,T1,inferred,1,17.251659033333333,HIGH
01122024_1500_11,2024-12-02,12:15,5,T2_T3,explicit,1,4.475634316666667,
02122024_1222_06,2024-12-02,12:15,6,T2_T3,explicit,1,0.007260733333333333,
01122024_1215_7,2024-12-02,12:15,7,T2_T3,explicit,1,14.823063416666667,
02122024_1221_08,2024-12-02,12:15,8,T1,inferred,1,5.007256466666666,HIGH
02122024_1200_9,2024-12-02,12:15,9,T2_T3,explicit,1,8.194776216666666,
01122024_1200_10,2024-12-02,12:15,10,T2_T3,explicit,1,10.960678699999999,
02122024_1200_11,2024-12-02,12:15,11,T2_T3,explicit,1,9.010344383333335,
02122024_1200_17,2024-12-02,12:15,17,T2_T3,explicit,1,6.487933566666666,
02122024_1217_19,2024-12-02,12:15,19,T2_T3,explicit,1,13.784776166666667,
02122024_1200_20,2024-12-02,12:15,20,T2_T3,explicit,1,8.378653066666667,
02122024_1219_21,2024-12-02,12:15,21,T1,inferred,1,16.2305417,HIGH
02122024_1200_13,2024-12-02,12:30,13,T2_T3,explicit,1,0.09902496666666667,
03122024_1008_09,2024-12-03,10:00,9,T1,inferred,1,16.58745,HIGH
03122024_1020_20,2024-12-03,10:00,20,T2_T3,explicit,1,19.4253481,
03122024_1015_01,2024-12-03,10:15,1,T1,inferred,1,17.79895978333333,HIGH
03122024_1000_2,2024-12-03,10:15,2,T2_T3,explicit,1,19.792059816666665,
03122024_1024_03,2024-12-03,10:15,3,T1,inferred,1,13.41345085,HIGH
