participant_id,conversation_id,csn_folder,csn_number,title,create_time,update_time,first_message_time,last_message_time,duration_seconds,duration_minutes,total_messages,user_messages,has_esperanto,quiz_questions,create_datetime,update_datetime
05122024_1645_1,6751d8b0-f324-8001-81ee-5cc12822fc41,CSN1,1,ID Assistance,1733417137.176554,1733418074.704764,1733417137.185255,1733417868.596053,731.4107978343964,12.190179963906607,25,12,True,9,2024-12-05T16:45:37.176554,2024-12-05T17:01:14.704764
05122024_1517_1,6751c400-b6c4-8001-b67f-859a87c2692f,CSN1,1,ID Assistance,1733411840.942526,1733413091.500613,1733411840.946646,1733413043.106253,1202.1596069335938,20.03599344889323,25,12,True,1,2024-12-05T15:17:20.942526,2024-12-05T15:38:11.500613
conv_67517f3b,67517f3b-39dc-8001-b00d-4aba7f609de4,CSN1,1,Esperanto Rapida Lerno,1733394235.622429,1733395301.747746,1733394235.633278,1733395297.385652,1061.7523741722107,17.695872902870178,29,14,True,0,2024-12-05T10:23:55.622429,2024-12-05T10:41:41.747746
conv_67508449,67508449-da24-8001-8e65-69fc231fc334,CSN1,1,ID Acknowledgment Response,1733329994.1406,1733330639.638905,1733329994.144206,1733330114.993647,120.84944105148315,2.0141573508580524,7,3,True,0,2024-12-04T16:33:14.140600,2024-12-04T16:43:59.638905
04122024_1500_1,675073d1-b904-8001-91a8-be0865d0f1de,CSN1,1,ID Request Acknowledgment,1733325778.142805,1733326623.84745,1733325778.158597,1733326570.276177,792.1175799369812,13.201959665616354,17,8,True,0,2024-12-04T15:22:58.142805,2024-12-04T15:37:03.847450
04122024_1345_1,675063f6-f51c-8001-86e1-3980abfcd04d,CSN1,1,ID Confirmation Request,1733321719.192413,1733322460.824954,1733321719.19555,1733322311.128968,591.9334180355072,9.865556967258453,17,8,True,4,2024-12-04T14:15:19.192413,2024-12-04T14:27:40.824954
04122024_1300_01,67505184-09ac-8001-a0a8-1651c3a57292,CSN1,1,ID Assistance Request,1733316996.30958,1733318116.06827,1733316996.315119,1733317917.52123,921.2061109542847,15.353435182571411,25,12,True,0,2024-12-04T12:56:36.309580,2024-12-04T13:15:16.068270
conv_675029ba,675029ba-a330-8001-b58c-a5591d5e2a18,CSN1,1,Is Esperanto a language,1733306810.881212,1733309077.05704,1733306810.886013,1733309051.798019,2240.9120059013367,37.34853343168894,13,6,True,0,2024-12-04T10:06:50.881212,2024-12-04T10:44:37.057040
conv_674f413f,674f413f-b8cc-8001-bfce-65f867969639,CSN1,1,研究支付与奖励指南,1733247295.84501,1733254264.708945,1733247295.448,1733247307.876879,12.428879022598267,0.20714798370997112,3,1,False,0,2024-12-03T17:34:55.845010,2024-12-03T19:31:04.708945
conv_674f0355,674f0355-8900-8001-91af-68750c07f9e5,CSN1,1,Esperanto translation inquiry,1733231445.75742,1733254229.082058,1733231445.318,1733231460.532211,15.214210987091064,0.2535701831181844,7,3,True,0,2024-12-03T13:10:45.757420,2024-12-03T19:30:29.082058
conv_674efe79,674efe79-840c-8001-90d5-887c4d79676c,CSN1,1,Amikoj en Esperanto,1733230201.827388,1733254195.841507,1733230201.284,1733231128.383154,927.0991539955139,15.451652566591898,29,14,True,0,2024-12-03T12:50:01.827388,2024-12-03T19:29:55.841507
conv_674f481d,674f481d-4fd8-8001-9778-b89ea4a08db9,CSN1,1,ID Confirmation Assistance,1733249053.531452,1733250562.207875,1733249053.032,1733249054.39894,1.3669400215148926,0.022782333691914878,3,1,False,0,2024-12-03T18:04:13.531452,2024-12-03T18:29:22.207875
conv_674f1596,674f1596-5170-8001-a641-2b53debd296a,CSN1,1,Gramatikaj korektoj en Esperanto,1733236118.587921,1733246910.148594,1733236117.998,1733236195.059181,77.06118106842041,1.2843530178070068,7,3,True,2,2024-12-03T14:28:38.587921,2024-12-03T17:28:30.148594
conv_674f3266,674f3266-1208-8001-8790-f92390f883fd,CSN1,1,Masculina en Esperanto,1733243494.272403,1733245190.89188,1733243493.776,1733244894.549302,1400.773302078247,23.346221701304117,45,19,True,0,2024-12-03T16:31:34.272403,2024-12-03T16:59:50.891880
01122024_1500_11,674f2301-a09c-8001-8993-73e9955a02fc,CSN1,1,ID Assistance,1733239553.816696,1733240594.791193,1733239553.326,1733240234.394977,681.0689771175385,11.35114961862564,21,10,True,0,2024-12-03T15:25:53.816696,2024-12-03T15:43:14.791193
conv_674f0cbd,674f0cbd-e4a0-8001-a29a-617d28694669,CSN1,1,What is Esperanto,1733233854.181947,1733235708.660523,1733233853.637,1733235660.103981,1806.466980934143,30.10778301556905,27,13,True,1,2024-12-03T13:50:54.181947,2024-12-03T14:21:48.660523
conv_674eda35,674eda35-0a30-8001-8cac-9c56805f22e0,CSN1,1,Lernu Esperanton,1733220917.483237,1733222216.420427,1733220916.84,1733221984.777587,1067.9375870227814,17.798959783713023,28,11,True,0,2024-12-03T10:15:17.483237,2024-12-03T10:36:56.420427
conv_674d880c,674d880c-90c8-8001-ad79-3208e14e8928,CSN1,1,Hello assistance request,1733134348.832335,1733152662.835401,1733134348.377,1733134350.50933,2.1323299407958984,0.035538832346598305,3,1,False,0,2024-12-02T10:12:28.832335,2024-12-02T15:17:42.835401
conv_6749fe9e,6749fe9e-d514-8001-ad46-87d43a754854,CSN1,1,Login Assistance Request,1732902558.985851,1733152658.825186,1732902558.344,1732902559.1117375,0.7677373886108398,0.012795623143513997,2,1,False,0,2024-11-29T17:49:18.985851,2024-12-02T15:17:38.825186
20471918_1221_1,674da645-4518-8001-9cef-a87cd1b4a1f0,CSN1,1,ID Sharing and Assistance,1733142085.650279,1733143082.747607,1733142085.106,1733142893.119458,808.0134580135345,13.466890966892242,32,14,True,0,2024-12-02T12:21:25.650279,2024-12-02T12:38:02.747607
28112024_1200_1,674861bb-e28c-8001-b7f0-443332f372a4,CSN1,1,Code Identification Query,1732796860.14173,1732900522.548795,1732796859.707,1732797690.534165,830.827164888382,13.847119414806366,28,13,True,0,2024-11-28T12:27:40.141730,2024-11-29T17:15:22.548795
05122024_1600_2,6751d790-ce9c-8009-acd3-8be8eb9df458,CSN2,2,ID Confirmation,1733416848.980922,1733417810.638694,1733416848.983691,1733417751.431662,902.4479711055756,15.04079951842626,36,16,True,1,2024-12-05T16:40:48.980922,2024-12-05T16:56:50.638694
05122024_1519_02,6751c498-3e90-8009-b441-9dfc60f1f0f7,CSN2,2,ID confirmation and assistance,1733411992.535563,1733413078.961224,1733411992.545977,1733412991.898232,999.3522548675537,16.65587091445923,45,20,True,0,2024-12-05T15:19:52.535563,2024-12-05T15:37:58.961224
05122024_1000_2,67517e0f-8440-8009-846d-fb6604204d9e,CSN2,2,ID Update Request,1733393935.831672,1733395256.917882,1733393935.837018,1733395222.400537,1286.563519001007,21.44272531668345,52,24,True,1,2024-12-05T10:18:55.831672,2024-12-05T10:40:56.917882
conv_67509973,67509973-a40c-8009-8a4a-e50f51fbbc2b,CSN2,2,Timestamp Request Summary,1733335411.943121,1733349244.713496,1733335411.946632,1733335632.291272,220.3446400165558,3.6724106669425964,11,5,True,0,2024-12-04T18:03:31.943121,2024-12-04T21:54:04.713496
04122024_1615_2,67508755-33bc-8009-83e4-1017074bd3e3,CSN2,2,Timestamp Interpretation Query,1733330773.468386,1733349223.888321,1733330773.472818,1733330909.354655,135.8818371295929,2.264697285493215,7,3,True,0,2024-12-04T16:46:13.468386,2024-12-04T21:53:43.888321
conv_67504ca7,67504ca7-f30c-8009-a5e2-dbfcbb0563f1,CSN2,2,Study Payment and Guidelines,1733315752.152446,1733349187.710275,1733315752.157357,1733315768.615776,16.45841908454895,0.2743069847424825,3,1,False,0,2024-12-04T12:35:52.152446,2024-12-04T21:53:07.710275
conv_67502f33,67502f33-aa70-8009-aca8-dab3b826de2f,CSN2,2,Kiel diri nome en Esperanto,1733308211.830855,1733349140.486138,1733308211.834633,1733308856.41115,644.576516866684,10.742941947778066,29,14,True,0,2024-12-04T10:30:11.830855,2024-12-04T21:52:20.486138
04122024_1500_2,67507325-cdf0-8009-b3d6-57fae49cf211,CSN2,2,ID Verification Request,1733325606.138109,1733326780.52133,1733325606.14529,1733326749.869617,1143.7243270874023,19.06207211812337,30,13,True,0,2024-12-04T15:20:06.138109,2024-12-04T15:39:40.521330
conv_67504168,67504168-a7bc-8009-8e95-a5393f5a73f3,CSN2,2,ID Assistance Request,1733312872.988111,1733313927.454206,1733312872.993856,1733313443.007922,570.0140659809113,9.500234433015187,26,11,True,0,2024-12-04T11:47:52.988111,2024-12-04T12:05:27.454206
conv_674f45cf,674f45cf-cab0-8009-aad7-11d49823384c,CSN2,2,ID Request Summary,1733248464.073081,1733249857.784166,1733248463.467,1733249744.693753,1281.2267529964447,21.35377921660741,32,14,True,0,2024-12-03T17:54:24.073081,2024-12-03T18:17:37.784166
03122024_1646_3,674f3609-7e10-8009-b714-ddc016967758,CSN2,2,ID Update Confirmation,1733244426.074824,1733245214.590966,1733244425.187,1733245099.426557,674.2395570278168,11.237325950463612,34,15,True,1,2024-12-03T16:47:06.074824,2024-12-03T17:00:14.590966
conv_674f2385,674f2385-86e0-8009-b2a7-77faa572cdbb,CSN2,2,Verboj en Esperanto,1733239685.770726,1733240490.667816,1733239685.199,1733240208.714324,523.5153241157532,8.72525540192922,19,9,True,1,2024-12-03T15:28:05.770726,2024-12-03T15:41:30.667816
03122024_1500_11,674f104f-1b5c-8009-bdbd-b8305dc3e2fc,CSN2,2,ID Update Confirmation,1733234767.387379,1733235747.992712,1733234766.803,1733235669.049717,902.2467169761658,15.037445282936096,55,24,True,1,2024-12-03T14:06:07.387379,2024-12-03T14:22:27.992712
03122024_1230_2,674efdd0-5c64-8009-ba48-72d79c894da9,CSN2,2,Verbo amo en Esperanto,1733230032.774108,1733231798.864669,1733230032.114,1733230913.477916,881.3639159202576,14.689398598670959,71,33,True,0,2024-12-03T12:47:12.774108,2024-12-03T13:16:38.864669
conv_674ee98f,674ee98f-66c4-8009-b156-601409bef13c,CSN2,2,Hello assistance,1733224847.63165,1733227163.537318,1733224847.186,1733225484.036903,636.8509027957916,10.614181713263195,14,5,True,3,2024-12-03T11:20:47.631650,2024-12-03T11:59:23.537318
03122024_1115_02,674eedec-063c-8009-bd78-c0adc0d37838,CSN2,2,ID Provided Assistance,1733225964.262338,1733227124.05512,1733225963.825,1733227035.60329,1071.7782900333405,17.862971500555673,58,27,True,21,2024-12-03T11:39:24.262338,2024-12-03T11:58:44.055120
conv_674eda77,674eda77-ed70-8009-a559-1b3a655d0301,CSN2,2,ID Assistance,1733220984.378766,1733222222.690811,1733220983.728,1733222171.251589,1187.5235891342163,19.792059818903606,28,12,True,1,2024-12-03T10:16:24.378766,2024-12-03T10:37:02.690811
conv_6749fe9f,6749fe9f-9894-8009-9513-75805daf366e,CSN2,2,Login Assistance,1732902559.754364,1733152851.409845,1732902559.118,1732902559.907874,0.7898740768432617,0.013164567947387695,2,1,False,0,2024-11-29T17:49:19.754364,2024-12-02T15:20:51.409845
conv_674da4e4,674da4e4-ee00-8009-9d26-98c351663e12,CSN2,2,ID Assistance,1733141733.37054,1733143000.43998,1733141732.768,1733142851.687127,1118.9191272258759,18.648652120431265,71,33,True,0,2024-12-02T12:15:33.370540,2024-12-02T12:36:40.439980
