participant_id,csn_folder,csn_number,num_conversations,first_seen_datetime,first_seen_unix,study_date,study_time,sequence_number,data_sources
01122024_1000_17,CSN17,17,2,2024-12-05T10:33:38.072759,1733394818,01122024,1000,17,"data/CSN17/conversations.json, data/CSN17/chat.html"
01122024_1033_17,CSN17,17,1,2024-12-05T10:33:38.122515,1733394818,01122024,1033,17,"data/CSN17/conversations.json, data/CSN17/chat.html"
01122024_1200_10,CSN10,10,1,2024-12-02T12:21:15.664779,1733142075,01122024,1200,10,"data/CSN10/chat.html, data/CSN10/conversations.json"
01122024_1215_7,CSN7,7,1,2024-12-02T12:16:55.845211,1733141815,01122024,1215,7,"data/CSN7/chat.html, data/CSN7/conversations.json"
01122024_1500_11,CSN1,1,7,2024-12-02T12:19:26.443591,1733239553,01122024,1500,11,"data/CSN4/chat.html, data/CSN22/chat.html, data/CSN11/conversations.json, data/CSN1/csn1/chat.html, data/CSN17/conversations.json, data/CSN15/chat.html, data/CSN5/conversations.json, data/CSN5/chat.html, data/CSN1/csn1/conversations.json, data/CSN4/conversations.json, data/CSN11/chat.html, data/CSN22/conversations.json, data/CSN15/conversations.json, data/CSN17/chat.html"
02122024_1135_10,CSN10,10,1,2024-12-03T11:34:12.843984,1733225652,02122024,1135,10,"data/CSN10/chat.html, data/CSN10/conversations.json"
02122024_1200_13,CSN13,13,1,2024-12-02T12:37:09.713930,1733143029,02122024,1200,13,"data/CSN13/conversations.json, data/CSN13/chat.html"
02122024_1200_17,CSN17,17,1,2024-12-02T12:19:32.476677,1733141972,02122024,1200,17,"data/CSN17/conversations.json, data/CSN17/chat.html"
02122024_1200_20,CSN20,20,1,2024-12-02T12:27:08.162461,1733142428,02122024,1200,20,"data/CSN20/chat.html, data/CSN20/conversations.json"
02122024_1217_12,CSN9,9,1,2024-12-02T12:04:59.675861,1733141099,02122024,1217,12,"data/CSN9/chat.html, data/CSN9/conversations.json"
02122024_1217_19,CSN19,19,1,2024-12-02T12:17:53.676369,1733141873,02122024,1217,19,"data/CSN19/conversations.json, data/CSN19/chat.html"
02122024_1222_06,CSN6,6,1,2024-12-02T12:23:24.454092,1733142204,02122024,1222,06,"data/CSN6/chat.html, data/CSN6/conversations.json"
03122004_1500_16,CSN16,16,1,2024-12-03T15:39:46.483797,1733240386,03122004,1500,16,"data/CSN16/conversations.json, data/CSN16/chat.html"
03122024_1000_09,CSN9,9,1,2024-12-03T10:28:41.771127,1733221721,03122024,1000,09,"data/CSN9/chat.html, data/CSN9/conversations.json"
03122024_1000_12,CSN9,9,1,2024-12-03T10:24:04.271240,1733221444,03122024,1000,12,"data/CSN9/chat.html, data/CSN9/conversations.json"
