participant_id,csn_folder,session_start,session_end,session_duration_min,num_esperanto_conversations,num_other_conversations,total_user_messages,avg_esperanto_duration_min
01122024_1000_17,CSN17,2024-12-05T10:33:38.076653,2024-12-05T10:33:38.126912,0.0,0,2,10,0
01122024_1200_10,CSN10,2024-12-02T12:21:15.206000,2024-12-02T12:21:15.206000,0.0,0,1,10,0
01122024_1215_7,CSN7,2024-12-02T12:16:55.472000,2024-12-02T12:16:55.472000,0.0,0,1,13,0
01122024_1500_11,CSN22,2024-12-02T12:19:23.519000,2024-12-05T16:53:32.808267,4594.15,1,6,85,23.84
02122024_1135_10,CSN10,2024-12-03T11:34:12.420000,2024-12-03T11:34:12.420000,0.0,0,1,22,0
02122024_1200_13,CSN13,2024-12-02T12:37:07.599000,2024-12-02T12:37:07.599000,0.0,0,1,1,0
02122024_1200_17,CSN17,2024-12-02T12:19:32.043000,2024-12-02T12:19:32.043000,0.0,0,1,5,0
02122024_1200_20,CSN20,2024-12-02T12:27:06.816000,2024-12-02T12:27:06.816000,0.0,0,1,8,0
02122024_1217_12,CSN9,2024-12-02T12:04:58.660000,2024-12-02T12:04:58.660000,0.0,1,0,9,23.0
02122024_1217_19,CSN19,2024-12-02T12:17:53.425000,2024-12-02T12:17:53.425000,0.0,0,1,9,0
02122024_1222_06,CSN6,2024-12-02T12:23:24.114000,2024-12-02T12:23:24.114000,0.0,0,1,1,0
03122004_1500_16,CSN16,2024-12-03T15:39:45.812000,2024-12-03T15:39:45.812000,0.0,0,1,1,0
03122024_1000_09,CSN9,2024-12-03T10:28:41.410000,2024-12-03T10:28:41.410000,0.0,0,1,15,0
03122024_1000_12,CSN9,2024-12-03T10:24:03.746000,2024-12-03T10:24:03.746000,0.0,0,1,14,0
03122024_1000_17,CSN17,2024-12-03T10:25:44.860000,2024-12-03T10:25:44.860000,0.0,0,1,7,0
03122024_1000_22,CSN22,2024-12-03T10:21:49.571000,2024-12-03T10:21:49.571000,0.0,0,1,21,0
