final_id,final_id_str,n_conversations,csn_list,total_user_msgs,first_user_time,first_user_time_iso,last_user_time,last_user_time_iso,duration_min,id_date,id_time,id_computer,is_main_session,id_source
00112024175107,00112024_1751_7,1,CSN7,10,1733248321.929,2024-12-03T17:52:01.929000,1733249268.873,2024-12-03T18:07:48.873000,15.78,00112024,1751,7,False,7digit
00312024134515,00312024_1345_15,1,CSN15,16,1733234234.424,2024-12-03T13:57:14.424000,1733235311.716,2024-12-03T14:15:11.716000,17.95,00312024,1345,15,False,7digit
01122024100017,01122024_1000_17,2,CSN17,10,1733394818.076653,2024-12-05T10:33:38.076653,1733395177.611871,2024-12-05T10:39:37.611871,5.99,01122024,1000,17,True,standard
01122024120010,01122024_1200_10,1,CSN10,10,1733142075.206,2024-12-02T12:21:15.206000,1733142732.404,2024-12-02T12:32:12.404000,10.95,01122024,1200,10,True,standard
01122024121507,01122024_1215_7,1,CSN7,13,1733141815.472,2024-12-02T12:16:55.472000,1733142704.417,2024-12-02T12:31:44.417000,14.82,01122024,1215,7,True,standard
01122024150011,01122024_1500_11,6,CSN1;CSN11;CSN15;CSN17;CSN22;CSN5,56,1733141963.519,2024-12-02T12:19:23.519000,1733417907.454956,2024-12-05T16:58:27.454956,4599.07,01122024,1500,11,True,standard
02122024113510,02122024_1135_10,1,CSN10,22,1733225652.42,2024-12-03T11:34:12.420000,1733226720.338,2024-12-03T11:52:00.338000,17.8,02122024,1135,10,True,standard
02122024120009,02122024_1200_9,1,CSN9,6,1733141963.137,2024-12-02T12:19:23.137000,1733142453.931,2024-12-02T12:27:33.931000,8.18,02122024,1200,9,True,standard
02122024120011,02122024_1200_11,1,CSN11,3,1733142463.396,2024-12-02T12:27:43.396000,1733143003.334,2024-12-02T12:36:43.334000,9.0,02122024,1200,11,True,standard
02122024120013,02122024_1200_13,1,CSN13,1,1733143027.599,2024-12-02T12:37:07.599000,1733143027.599,2024-12-02T12:37:07.599000,0.0,02122024,1200,13,True,standard
02122024120017,02122024_1200_17,1,CSN17,5,1733141972.043,2024-12-02T12:19:32.043000,1733142360.768,2024-12-02T12:26:00.768000,6.48,02122024,1200,17,True,standard
02122024120020,02122024_1200_20,1,CSN20,8,1733142426.816,2024-12-02T12:27:06.816000,1733142929.097,2024-12-02T12:35:29.097000,8.37,02122024,1200,20,True,standard
02122024121502,02122024_1215_2,1,CSN2,33,1733141732.768,2024-12-02T12:15:32.768000,1733142850.729,2024-12-02T12:34:10.729000,18.63,02122024,1215,2,True,7digit
02122024121712,02122024_1217_12,1,CSN9,9,1733141098.66,2024-12-02T12:04:58.660000,1733142478.296,2024-12-02T12:27:58.296000,22.99,02122024,1217,12,True,standard
02122024121719,02122024_1217_19,1,CSN19,9,1733141873.425,2024-12-02T12:17:53.425000,1733142700.039,2024-12-02T12:31:40.039000,13.78,02122024,1217,19,True,standard
02122024122206,02122024_1222_06,1,CSN6,1,1733142204.114,2024-12-02T12:23:24.114000,1733142204.114,2024-12-02T12:23:24.114000,0.0,02122024,1222,06,True,standard
02122024202412,02122024_2024_12,1,CSN4,16,1733141926.642,2024-12-02T12:18:46.642000,1733142961.249,2024-12-02T12:36:01.249000,17.24,02122024,2024,12,True,time_only
03122004150016,03122004_1500_16,1,CSN16,1,1733240385.812,2024-12-03T15:39:45.812000,1733240385.812,2024-12-03T15:39:45.812000,0.0,03122004,1500,16,False,standard
03122014113103,03122014_1131_3,1,CSN3,13,1733225473.809,2024-12-03T11:31:13.809000,1733226714.903,2024-12-03T11:51:54.903000,20.68,03122014,1131,3,False,slashed
